Old_Crime_ID	Crime_ID	Country	Link	Event_year	Event_date	Seizure_co	Seizure_ci	X	Y	N. of fire	Firearm_Ty	Ammunition	Storage	Shooting/h	N. of acto	Actors_nat	Actors_age	Actors_gen	Additional	Source	NUTS_ID
RO0056	RO069	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/perchezitii-la-persoane-banuite-de-braconaj-cinegetic	2014.0	2014-05-20T00:00:00Z	Romania	Coroieni	23.762998	47.375053	1.0	Shotgun	Yes	House	N/A	2.0	N/A;N/A	N/A;N/A	M;M	Hunting weapon	Press release LEA	RO11
RO0009	RO070	Romania	http://www.customs.ro/UserFiles/140617_CP_BV%20ighet%20333%20cartuse%20arme%20de%20foc(1).pdf	2014.0	2014-06-16T00:00:00Z	Romania	Sighetu Marmației	23.893281	47.92306	0.0		Yes	Other	N/A	N/A	N/A	N/A	N/A	Other: Baggage	Press release customs	RO11
RO0057	RO071	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/retinuti-pentru-trafic-de-droguri	2014.0	2014-06-17T00:00:00Z	Romania	Piatra Neamț	26.369	46.92976	1.0	N/A	Yes	House	N/A	2.0	N/A;N/A	22;23	M;M	Drug traffic	Press release LEA	RO21
RO0058	RO072	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/arme-detinute-ilegal-si-plante-cu-caracteristicile-celor-de-cannabis-descoperite-de-politisti	2014.0	2014-06-24T00:00:00Z	Romania	Ciochina	27.060239	44.592713	7.0	Other;Other;Other;Other;Other;Other;Other	Yes	House	N/A	1.0	Greek	69.0	M	Drug traffic. Air weapons	Press release LEA	RO31
RO0059	RO073	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/perchezitii-la-persoane-banuite-de-contrabada-cu-arme	2014.0	2014-07-18T00:00:00Z	Romania	Pesac	20.835421	45.996469	12.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	Yes	House	N/A	2.0	N/A;N/A	25;25	M;M		Press release LEA	RO42
RO0060	RO074	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/update-26-de-perchezitii-la-persoane-banuite-de-furt-de-componente-ale-unei-retele-de-telefonie	2014.0	2014-07-18T00:00:00Z	Romania	Dâmbovița (Region)	-	-	1.0	N/A	Yes	House	N/A	1.0	N/A	N/A	M	Operation against criminal organization. At the home of a man was found a firearm.	Press release LEA	
RO0061	RO075	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/arme-ridicate-de-politisti	2014.0	2014-07-23T00:00:00Z	Romania	Bucharest	26.09776	44.44804	1.0	N/A	Yes	House	N/A	2.0	N/A;N/A	N/A;N/A	N/A;N/A		Press release LEA	RO32
RO0062	RO076	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/perchezitii-la-detinatori-ilegali-de-arme-si-munitii;https://www.politiaromana.ro/ro/stiri-si-media/stiri/update-perchezitii-la-detinatori-ilegali-de-arme-si-munitii	2014.0	2014-08-05T00:00:00Z	Romania	Giurgiu	25.96047	43.89184	3.0	N/A;N/A;N/A	Yes	House	N/A	N/A	N/A	N/A	N/A	Illegal possession of arms and ammunition	Press release LEA	RO31
RO0063	RO077	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/muni-538-ie-de-538-inuta-ilegal-depistata-de-poli-538-i-536-ti	2014.0	2014-08-12T00:00:00Z	Romania	Comana	26.142933	44.171123	N/A	N/A	Yes	House	N/A	1.0	N/A	N/A	M	Illigal possession of weapons and explosives.	Press release LEA	RO31
RO0064	RO078	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/grupare-specializata-in-trafic-de-droguri-destructurata-21876	2014.0	2014-08-20T00:00:00Z	Romania	Satu Mare	22.87634	47.78784	1.0	Pistol	N/A	House	N/A	N/A	N/A	N/A	N/A	Drug traffic	Press release LEA	RO11
RO0065	RO079	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/update-15-perchezitii-la-persoane-banuite-de-furturi-din-locuinte	2014.0	2014-10-08T00:00:00Z	Romania	Bistrița	24.49345	47.13336	N/A	N/A	N/A	House	N/A	15.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	25-47;25-47;25-47;25-47;25-47;25-47;25-47;25-47;25-47;25-47;25-47;25-47;25-47;25-47;25-47	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	Criminal Organization	Press release LEA	RO11
RO0066	RO080	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/urmarit-de-autoritatile-italiene-prins-de-politistii-romani1415873550	2014.0	2014-11-12T00:00:00Z	Romania	Galați	28.02218	45.44344	1.0	N/A	N/A	N/A	N/A	1.0	Italian	47.0	M	Policce arrested an italian man carring a gun.	Press release LEA	RO22
RO0067	RO081	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/arme-detinute-ilegal-ridicate-de-politisti1416576393	2014.0	2014-11-20T00:00:00Z	Romania	Timiș County	-	-	2.0	N/A;N/A	Yes	House	N/A	1.0	N/A	23.0	M		Press release LEA	
RO0068	RO082	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/retinut-pentru-infractiuni-la-regimul-armelor-si-munitiilor	2014.0	2014-12-07T00:00:00Z	Romania	Lovrin	20.770072	45.9689	1.0	Other	Yes	Car	N/A	1.0	N/A	46.0	M	Illigal possession of firearm. Air rifle.	Press release LEA	RO42
RO0069	RO083	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/nereguli-la-regimul-armelor-si-munitiilor-depistate-de-politisti	2014.0	2014-12-22T00:00:00Z	Romania	N/A	-	-	14.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A	Yes	House	N/A	N/A	N/A	N/A	N/A	Irregularities in possession of weapons	Press release LEA	
RO0070	RO084	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/persoana-banuita-de-comercializare-ilegala-de-tutun-cercetata-de-politisti	2014.0	2014-12-22T00:00:00Z	Romania	Balș	24.11023	44.34825	3.0	Other;Other;Other	N/A	House	N/A	1.0	N/A	51.0	M	Illigal trading of tobacco. Air rifle, Air pistol and gas pistol.	Press release LEA	RO41
RO0071	RO085	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/perchezitie-la-persoane-banuite-de-nerespectarea-regimului-armelor-si-munitiilor-si-braconaj	2015.0	2015-01-07T00:00:00Z	Romania	Iași	27.59095	47.15657	N/A	N/A	Yes	House	N/A	3.0	N/A;N/A;N/A	N/A;N/A;N/A	N/A;N/A;N/A	Hunting weapons	Press release LEA	RO21
RO0072	RO086	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/retinut-pentru-infractiuni-la-regimul-armelor-si-munitiilor1421068407	2015.0	2015-01-12T00:00:00Z	Romania	Galați	28.02218	45.44344	3.0	N/A;N/A;Pistol	Yes	House	N/A	1.0	Romanian	43.0	M		Press release LEA	RO22
RO0073	RO087	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/arma-de-tir-sportiv-detinuta-ilegal-ridicata-de-politisti	2015.0	2015-01-16T00:00:00Z	Romania	Brăila	27.95864	45.27984	1.0	Rifle	Yes	House	N/A	1.0	N/A	41.0	M		Press release LEA	RO22
RO0074	RO088	Romania	https://www.politiaromana.ro/ro/stiri-si-media/stiri/arma-de-tir-si-munitie-detinute-ilegal-ridicate-de-politisti	2015.0	2015-01-19T00:00:00Z	Romania	Ilfov (Region)	-	-	1.0	N/A	Yes	House	N/A	1.0	N/A	50.0	M		Press release LEA	
